MpCodigo,MpNombre,MpArea,MpCategor,SHAPE_Leng,SHAPE_Area,MpAltitud,Depto,Poblacion,Longitud,Latitud
"68820",Tona,330.06865259900,"1",98306.41905360000,330068652.59899997711,"1850",Santander,"7208",-72.939704400,7.170891100
"54174",Chitagá,1182.50223829000,"1",212994.95124600001,1182502238.28999996185,"2337",Norte de Santander,"11129",-72.525447400,7.051616769
"68001",Bucaramanga,153.23482276500,"1",75068.54182800000,153234822.76499998569,"960",Santander,"588404",-73.111649000,7.155435097
"05604",Remedios,1973.07397698000,"1",330326.23480699997,1973073976.98000001907,"728",Antioquia,"27683",-74.557023900,6.998210219
"05893",Yondó,1892.95354185000,"1",257325.86975000001,1892953541.84999990463,"100",Antioquia,"18410",-74.158213400,6.925180943
"05031",Amalfi,1208.34621497000,"1",227417.21262000001,1208346214.97000002861,"1500",Antioquia,"25345",-74.981273100,6.977690675
"54743",Silos,316.16169936600,"1",99355.84935660000,316161699.36599999666,"2750",Norte de Santander,"5939",-72.786180300,7.180984661
"68169",Charta,126.45830047200,"1",66254.80437640000,126458300.47200000286,"2000",Santander,"2861",-72.987878800,7.258964398
"27150",Carmen Del Darién,3182.68749160000,"1",384603.82746399997,3182687491.59999990463,"5",Chocó,"17011",-76.974232000,7.033647637
"54125",Cácota,138.62005654700,"1",61414.57860730000,138620056.54699999094,"2400",Norte de Santander,"2753",-72.652121500,7.270560087
"54480",Mutiscua,158.50838615200,"1",60510.87021490000,158508386.15200001001,"2600",Norte de Santander,"3986",-72.768346400,7.316936830
"68867",Vetas,92.23515737050,"1",45365.56078870000,92235157.37049999833,"3350",Santander,"2073",-72.881569000,7.322219563
"68132",California,44.92357983750,"1",47026.73876080000,44923579.83749999851,"2000",Santander,"2087",-72.926344300,7.353288081
"54377",Labateca,255.46142914000,"1",93036.00399410000,255461429.13999998569,"1534",Norte de Santander,"6082",-72.522663100,7.265515344
"68406",Lebrija,549.46776773600,"1",179233.69615400000,549467767.73599994183,"1013",Santander,"40507",-73.291380100,7.204060016
"13160",Cantagallo,879.58754817000,"1",186993.67362700001,879587548.16999995708,"64",Bolívar,"7925",-74.100306400,7.239144441
"05854",Valdivia,567.48166159600,"1",169213.67048000000,567481661.59599995613,"1064",Antioquia,"13684",-75.400945000,7.265404212
"05040",Anorí,1412.95696324000,"1",204189.66083600000,1412956963.24000000954,"1550",Antioquia,"17848",-75.108489600,7.193110408
"68444",Matanza,235.29742138100,"1",88527.16009830000,235297421.38100004196,"1580",Santander,"4941",-73.054389900,7.348778320
"54518",Pamplona,297.65003053900,"1",116151.82282299999,297650030.53899997473,"2288",Norte de Santander,"48642",-72.675903400,7.379057623
"05736",Segovia,1124.73327278000,"1",207516.10900400000,1124733272.77999997139,"681",Antioquia,"36879",-74.621526600,7.267192047
"54820",Toledo,1478.26316625000,"1",233437.77174299999,1478263166.25000000000,"1644",Norte de Santander,"14991",-72.305878900,7.225932220
"27372",Juradó,1298.05370057000,"1",387857.62610800000,1298053700.56999993324,"5",Chocó,"6458",-77.684970500,7.112896632
"54347",Herrán,107.51768619400,"1",67892.18955260000,107517686.19400002062,"2000",Norte de Santander,"6454",-72.492526900,7.493942589
"05480",Mutatá,1075.26586608000,"1",183627.55646699999,1075265866.07999992371,"132",Antioquia,"13699",-76.463026500,7.329540567
"54520",Pamplonita,170.54166127700,"1",76953.72219309999,170541661.27700001001,"1700",Norte de Santander,"5211",-72.635154200,7.482871284
"05361",Ituango,2840.92641740000,"1",353960.57781699998,2840926417.40000009537,"1750",Antioquia,"26692",-75.850351000,7.302946251
"68780",Suratá,362.29847178800,"1",135214.30544400000,362298471.78799998760,"1740",Santander,"3994",-72.987799600,7.475402069
"68255",El Playón,454.15314600500,"1",145462.61684300000,454153146.00500005484,"445",Santander,"13458",-73.181581900,7.524283670
"54223",Cucutilla,374.13064732500,"1",97807.00350650000,374130647.32499998808,"1300",Norte de Santander,"7881",-72.797034400,7.502182360
"54599",Ragonvalia,97.82184444400,"1",50758.10319810000,97821844.44400000572,"1555",Norte de Santander,"5650",-72.507419700,7.595395350
"68655",Sabana De Torres,1400.61686340000,"1",253956.18224800000,1400616863.40000009537,"135",Santander,"32138",-73.571314900,7.406535093
"54172",Chinácota,165.89175982300,"1",83379.77375930002,165891759.82300001383,"1230",Norte de Santander,"16553",-72.583912700,7.583347450
"13670",San Pablo,2018.55750047000,"1",358552.45906500000,2018557500.47000002861,"75",Bolívar,"26559",-74.135667600,7.422365655
"05895",Zaragoza,1166.73534616000,"1",270593.69803799997,1166735346.16000008583,"67",Antioquia,"24328",-74.858471400,7.474035336
"54051",Arboledas,455.21921246600,"1",128184.16272399999,455219212.46600002050,"920",Norte de Santander,"9342",-72.861364100,7.613231285
"68615",Rionegro,1166.48054502000,"1",350876.70374500001,1166480545.01999998093,"655",Santander,"26203",-73.372476300,7.474232460
"05790",Tarazá,1148.69450836000,"1",264089.03621900000,1148694508.35999989510,"97",Antioquia,"26176",-75.401888400,7.488888729
"54099",Bochalema,169.96362801200,"1",83120.86358130000,169963628.01199999452,"1058",Norte de Santander,"7755",-72.657805500,7.633483279
"05172",Chigorodó,721.98166706200,"1",178105.40138200001,721981667.06200003624,"31",Antioquia,"55460",-76.639642100,7.631665643
"54385",La Esperanza,668.75090722900,"1",201817.18120399999,668750907.22899997234,"174",Norte de Santander,"10648",-73.361396700,7.695233578
"54239",Durania,174.57788162900,"1",66144.42709510002,174577881.62900000811,"950",Norte de Santander,"4445",-72.672090900,7.747010291
"54128",Cáchira,614.67165625700,"1",182781.90501399999,614671656.25699996948,"2020",Norte de Santander,"10699",-73.129394800,7.684188893
"54405",Los Patios,126.14392196800,"1",73190.62406240002,126143921.96799999475,"403",Norte de Santander,"84240",-72.527230400,7.741476942
"54874",Villa Del Rosario,91.88399967310,"1",78779.86357350000,91883999.67309999466,"435",Norte de Santander,"98454",-72.482021100,7.757553522
"05147",Carepa,387.43533412600,"1",144653.08202000000,387435334.12599998713,"34",Antioquia,"46057",-76.656682000,7.789166057
"54660",Salazar,492.90551091500,"1",125964.72446600000,492905510.91500002146,"850",Norte de Santander,"9943",-72.867699500,7.772747824
"54673",San Cayetano,138.97553902200,"1",76597.44442370000,138975539.02200001478,"240",Norte de Santander,"6570",-72.609678600,7.847862103
"23682",San José De Uré,525.45901805200,"1",173577.29361100000,525459018.05199998617,"96",Córdoba,"12736",-75.567251700,7.753039311
"05120",Cáceres,1872.69675959000,"1",324530.61587199999,1872696759.59000015259,"114",Antioquia,"28340",-75.223686100,7.665162017
"27615",Riosucio,7615.45644860000,"1",712532.24146699999,7615456448.60000038147,"22",Chocó,"50631",-77.240600700,7.389939606
"54680",Santiago,172.17061647000,"1",73700.52361520000,172170616.46999999881,"411",Norte de Santander,"3255",-72.718254100,7.889234453
"20710",San Alberto,549.31572559100,"1",174046.40580300000,549315725.59099996090,"120",Cesar,"25119",-73.453719700,7.814391872
"05250",El Bagre,1558.62054923000,"1",253576.35742200000,1558620549.22999978065,"50",Antioquia,"49988",-74.664252200,7.704650035
"54313",Gramalote,148.71499803600,"1",74366.60559700000,148714998.03600001335,"1047",Norte de Santander,"7087",-72.807055800,7.906522991
"54418",Lourdes,86.41008330150,"1",51589.04257030000,86410083.30149999261,"1411",Norte de Santander,"3824",-72.846702900,7.963712758
"23580",Puerto Libertador,1647.24756414000,"1",309131.38873700000,1647247564.14000010490,"90",Córdoba,"40632",-75.771220500,7.711544951
"05045",Apartadó,535.36472256800,"1",142176.19900900000,535364722.56799995899,"28",Antioquia,"116788",-76.566951400,7.896135999
"54871",Villa Caro,400.27398820300,"1",136072.54041700001,400273988.20299994946,"1600",Norte de Santander,"4863",-72.987594100,7.936293170
"05154",Caucasia,1428.23932093000,"1",333981.86543800001,1428239320.93000006676,"51",Antioquia,"87332",-75.035020300,7.867943155
"20770",San Martín,991.73368784800,"1",241642.79032599999,991733687.84800004959,"113",Cesar,"25305",-73.544367900,7.937793803
"68575",Puerto Wilches,1506.58076590000,"1",369417.99318900000,1506580765.90000009537,"65",Santander,"31945",-73.783898100,7.577049914
"23350",La Apartada,286.89539702700,"1",110815.67469200000,286895397.02700001001,"40",Córdoba,"15011",-75.288162000,8.052220669
"13688",Santa Rosa Del Sur,2380.12020930000,"1",369383.79054800002,2380120209.30000019073,"600",Bolívar,"31402",-74.262727000,7.772516606
"13744",Simití,1352.83547658000,"1",283631.54817400000,1352835476.57999992371,"25",Bolívar,"17459",-73.983713600,7.851319475
"23466",Montelíbano,1550.83896207000,"1",479109.97158299998,1550838962.06999969482,"39",Córdoba,"79409",-75.760676300,7.886327477
"54109",Bucarasica,270.25103599800,"1",91359.73687530000,270251035.99800002575,"1100",Norte de Santander,"5980",-72.929199200,8.079802239
"05495",Nechí,936.58107899400,"1",228738.86774700001,936581078.99399995804,"35",Antioquia,"24929",-74.792421400,7.990467679
"54003",Ábrego,1379.89869089000,"1",247100.33805600001,1379898690.89000010490,"1395",Norte de Santander,"30696",-73.158504800,8.019834477
"54261",El Zulia,504.24625119900,"1",158498.79581899999,504246251.19900000095,"204",Norte de Santander,"25421",-72.631522100,8.081184040
"23807",Tierralta,4938.33118658000,"1",411513.16454999999,4938331186.57999992371,"51",Córdoba,"90807",-76.168460900,7.813910036
"20614",Río De Oro,548.60487926200,"1",149707.07830800000,548604879.26199996471,"1165",Cesar,"16095",-73.487466400,8.201105303
"54398",La Playa,241.77236676100,"1",126463.54515300000,241772366.76100000739,"1500",Norte de Santander,"7343",-73.187893200,8.256757874
"27800",Unguía,1191.23066701000,"1",194306.52308399999,1191230667.00999999046,"50",Chocó,"12676",-77.103735600,8.117283605
"23079",Buenavista,834.58344041700,"1",207561.26210600001,834583440.41700005531,"56",Córdoba,"20732",-75.433820900,8.191401738
"54553",Puerto Santander,46.31355792370,"1",53585.35824640000,46313557.92369999737,"50",Norte de Santander,"8041",-72.410984300,8.329987311
"54498",Ocaña,521.82148465700,"1",196306.23053800000,521821484.65700006485,"1205",Norte de Santander,"113869",-73.352466300,8.231179726
"23855",Valencia,919.22065717100,"1",190317.41691800000,919220657.17100000381,"55",Córdoba,"35138",-76.221369000,8.219906020
"13655",San Jacinto Del Cauca,569.45673457900,"1",198033.83935100000,569456734.57899999619,"25",Bolívar,"9513",-74.668399800,8.237509980
"54001",Cúcuta,1131.83563806000,"1",320277.02534699999,1131835638.05999994278,"325",Norte de Santander,"730204",-72.488629800,8.112101475
"13458",Montecristo,2090.71746623000,"1",373243.51227000001,2090717466.22999978065,"50",Bolívar,"15644",-74.463429000,8.017100184
"20310",González,72.77415025370,"1",47129.71434870000,72774150.25370000303,"1300",Cesar,"4458",-73.375374900,8.405747846
"13473",Morales,1345.74855158000,"1",229496.79808300000,1345748551.57999992371,"41",Bolívar,"21405",-73.971354500,8.253692307
"13042",Arenal,461.36296980100,"1",171464.72053399999,461362969.80099999905,"50",Bolívar,"7384",-74.106959400,8.341017969
"20295",Gamarra,326.42655470800,"1",109411.97975699999,326426554.70800000429,"43",Cesar,"14392",-73.706495400,8.337726511
"05837",Turbo,2919.20647693000,"2",722098.16988900001,2919206476.92999982834,"1",Antioquia,"121168",-76.723772500,7.998235632
"54344",Hacarí,418.21019391300,"1",110427.01659400000,418210193.91300004721,"1000",Norte de Santander,"9655",-73.078263200,8.361831985
"20011",Aguachica,876.31633597200,"1",215771.78827100000,876316335.97200012207,"152",Cesar,"104849",-73.622739100,8.248737863
"70265",Guaranda,361.39744511400,"1",154840.45271700001,361397445.11400002241,"25",Sucre,"17180",-74.676191700,8.383885717
"54720",Sardinata,1464.66497222000,"1",288909.68972099997,1464664972.22000002861,"300",Norte de Santander,"24277",-72.806315300,8.264128484
"23068",Ayapel,1963.72979464000,"1",265417.70519900002,1963729794.64000010490,"26",Córdoba,"47036",-75.048684500,8.265780413
"23555",Planeta Rica,1140.09893388000,"1",279013.44792100001,1140098933.88000011444,"87",Córdoba,"63658",-75.612356700,8.290306733
"54670",San Calixto,397.28757348900,"1",157092.94740899999,397287573.48900002241,"1650",Norte de Santander,"11515",-73.157980900,8.453837543
"05665",San Pedro De Urabá,602.65121750000,"1",188891.68999799999,602651217.50000000000,"434",Antioquia,"30258",-76.316642200,8.379156879
"13490",Norosí,415.85261748500,"1",135237.11243600000,415852617.48500007391,"50",Bolívar,"8361",-74.115894800,8.506129507
"23570",Pueblo Nuevo,848.95155683900,"1",224870.83089799999,848951556.83899998665,"120",Córdoba,"34821",-75.405161300,8.481339282
"13810",Tiquisio,761.96262239900,"1",177419.30446300001,761962622.39900004864,"25",Bolívar,"17628",-74.296761300,8.492345173
"13600",Rioviejo,844.25962604300,"1",333203.80021299998,844259626.04299998283,"10",Bolívar,"10644",-73.997014700,8.493036299
"27006",Acandí,798.52828412600,"1",200791.39060000001,798528284.12600004673,"6",Chocó,"13754",-77.289696400,8.434198497
"05490",Necoclí,1256.11451340000,"1",265898.02746100002,1256114513.40000009537,"6",Antioquia,"41261",-76.677002400,8.493716001
"70708",San Marcos,969.79218571800,"1",179412.05563500000,969792185.71800005436,"20",Sucre,"55959",-75.172521100,8.589245909
"70429",Majagual,844.58564862800,"1",194446.55790000001,844585648.62800002098,"22",Sucre,"35610",-74.710354500,8.546119286
"20383",La Gloria,801.57807923500,"1",215268.41202600001,801578079.23500013351,"35",Cesar,"16245",-73.633080600,8.621330166
"05659",San Juan De Urabá,252.02597949800,"1",88840.35767210000,252025979.49800002575,"7",Antioquia,"19505",-76.532469800,8.707133166
"13580",Regidor,183.24156720700,"1",98684.15980340001,183241567.20699998736,"10",Bolívar,"6596",-73.851162400,8.722040551
"13030",Altos Del Rosario,303.39090837300,"1",108480.96791599999,303390908.37300002575,"33",Bolívar,"10681",-74.195158500,8.757469179
"13006",Achí,950.75656581500,"1",201924.35451899999,950756565.81500005722,"24",Bolívar,"23580",-74.478053700,8.622945835
"23090",Canalete,420.08897124500,"1",143887.97224900001,420088971.24499994516,"50",Córdoba,"15146",-76.237793600,8.724095127
"23678",San Carlos,446.43970663600,"1",164818.19399199999,446439706.63599997759,"12",Córdoba,"26464",-75.692491600,8.706434774
"54250",El Tarra,702.74404750000,"1",156688.23505100000,702744047.50000000000,"150",Norte de Santander,"18891",-73.031759700,8.678263670
"05051",Arboletes,754.39450586500,"1",203046.63061600001,754394505.86500000954,"6",Antioquia,"29013",-76.414782000,8.611377973
"20550",Pelaya,422.73952237300,"1",156947.41701300000,422739522.37299996614,"70",Cesar,"19764",-73.632955800,8.764117414
