MpCodigo;MpNombre;MpArea;MpCategor;SHAPE_Leng;SHAPE_Area;MpAltitud;Depto;Poblacion;Longitud;Latitud
20614;R°o De Oro;548,6048793;1;149707,0783;548604879,3;1165;Cesar;16095;-73,4874664;8,201105303
76100;Bol°var;743,7784193;1;170092,4964;743778419,3;930;Valle del Cauca;16047;-76,3648569;4,363682551
76377;La Cumbre;255,5501405;1;114395,0898;255550140,5;1584;Valle del Cauca;16005;-76,5898983;3,694303507
13838;Turbana;191,0785865;1;113534,5389;191078586,5;50;Bol°var;16000;-75,4703778;10,21604104
41016;Aipe;795,2985578;1;236780,2496;795298557,8;391;Huila;15918;-75,3526218;3,262374936
25772;Suesca;173,0188205;1;100814,9572;173018820,5;2600;Cundinamarca;15912;-73,7827026;5,135992476
76890;Yotoco;327,7506021;1;148512,576;327750602,1;850;Valle del Cauca;15887;-76,390797;3,904182808
25402;La Vega;155,27048;1;81118,51587;155270480;1200;Cundinamarca;15865;-74,3393606;4,978619828
66572;Pueblo Rico;613,8026622;1;122928,5558;613802662,2;1563;Risaralda;15859;-76,0735936;5,286295099
5197;Cocorn†;241,632657;1;123926,6187;241632657;1300;Antioquia;15762;-75,1601543;6,005593282
13667;San Mart°n De Loba;449,5459821;1;159476,2213;449545982,1;27;Bol°var;15741;-74,0103328;8,787687166
5667;San Rafael;363,6931332;1;114978,9004;363693133,2;1011;Antioquia;15735;-74,9985865;6,310744528
86569;Puerto Caicedo;926,789715;1;191254,3652;926789715;272;Putumayo;15694;-76,480994;0,725071229
15491;Nobsa;55,34249397;1;40717,55227;55342493,97;2500;Boyac†;15652;-72,9326833;5,778749672
13212;C¢rdoba;596,8656259;1;132043,1086;596865625,9;20;Bol°var;15646;-74,8944552;9,540049691
13458;Montecristo;2090,717466;1;373243,5123;2090717466;50;Bol°var;15644;-74,463429;8,017100184
17524;Palestina;112,2038937;1;66176,09641;112203893,7;1600;Caldas;15621;-75,6617;5,050265644
5138;Ca§asgordas;364,8386014;1;117462,3314;364838601,4;1298;Antioquia;15615;-76,0268963;6,814949877
76616;Riofr°o;308,162729;1;110393,9569;308162729;939;Valle del Cauca;15592;-76,3710621;4,109491581
54800;Teorama;925,5765578;1;286139,1072;925576557,8;1000;Norte de Santander;15583;-73,1570913;8,760104889
15407;Villa De Leiva;126,3840135;1;69885,00701;126384013,5;2143;Boyac†;15581;-73,514948;5,665762427
25295;Gachancip†;42,86544066;1;32546,59819;42865440,66;2563;Cundinamarca;15569;-73,8768073;5,010036382
52693;San Pablo;111,9341352;1;55899,49423;111934135,2;1750;Nari§o;15560;-76,9752797;1,681576739
27495;Nuqu°;704,5833661;1;270334,1896;704583366,1;5;Choc¢;15554;-77,2929777;5,690056214
17513;P†cora;257,1925662;1;86394,73191;257192566,2;1814;Caldas;15501;-75,4825095;5,500026138
5093;Betulia;262,3621212;1;93825,60074;262362121,2;1600;Antioquia;15464;-75,9564924;6,185783611
8141;Candelaria;135,6806608;1;62401,65669;135680660,8;13;Atl†ntico;15392;-74,8775636;10,48902256
52215;C¢rdoba;304,9173743;1;130399,8259;304917374,3;2800;Nari§o;15390;-77,3603297;0,770801805
8675;Santa Luc°a;57,31196282;1;46331,93012;57311962,82;7;Atl†ntico;15387;-74,9654132;10,35365087
15861;Ventaquemada;159,7537296;1;73879,16815;159753729,6;2642;Boyac†;15372;-73,5209794;5,38338548
15047;Aquitania;940,3543755;1;201805,6577;940354375,5;3042;Boyac†;15320;-72,8714924;5,437438311
76606;Restrepo;137,2433541;1;62440,79655;137243354,1;1400;Valle del Cauca;15257;-76,5346257;3,806275201
52240;ChachagÅ°;146,3986686;1;81900,36822;146398668,6;1961;Nari§o;15173;-77,2696902;1,386497843
73483;Natagaima;859,3502414;1;184256,2869;859350241,4;326;Tolima;15165;-75,12201;3,5405182
23090;Canalete;420,0889712;1;143887,9722;420088971,2;50;C¢rdoba;15146;-76,2377936;8,724095127
25815;Tocaima;245,5809768;1;114383,3814;245580976,8;399;Cundinamarca;15102;-74,6485895;4,452084461
47660;Sabanas De San µngel;1237,523389;1;273016,6165;1237523389;140;Magdalena;15061;-74,2644418;10,10532687
25769;Subachoque;208,9673829;1;81111,7636;208967382,9;2600;Cundinamarca;15049;-74,1568992;4,970358035
23350;La Apartada;286,895397;1;110815,6747;286895397;40;C¢rdoba;15011;-75,288162;8,052220669
5656;San Jer¢nimo;161,2354721;1;62744,1251;161235472,1;734;Antioquia;15009;-75,7031072;6,438300403
54820;Toledo;1478,263166;1;233437,7717;1478263166;1644;Norte de Santander;14991;-72,3058789;7,22593222
47030;Algarrobo;405,9177913;1;139101,5278;405917791,3;100;Magdalena;14891;-74,103237;10,25356833
5761;Sopetr†n;219,0364851;1;93720,62423;219036485,1;660;Antioquia;14879;-75,7458089;6,520164614
27430;Medio Baud¢;1372,942995;1;298662,203;1372942995;50;Choc¢;14778;-76,9959289;5,110393589
18410;Monta§ita;1700,235564;1;377326,2825;1700235564;237;Caquet†;14722;-75,2357282;1,302862435
70124;Caimito;412,2240866;1;128818,686;412224086,6;20;Sucre;14697;-75,1319015;8,792310985
